1.554384094272581628e+06,2.741108985755067451e+01,1.782018319423615935e+02,1.508372056476335956e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.782053462401472927e+02,1.508407214490082424e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.782088590744831151e+02,1.508442357863526979e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.782123715497768899e+02,1.508477497645180279e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.782158842249016857e+02,1.508512639426431576e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.782193995935817554e+02,1.508547808154380334e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.782229114643710659e+02,1.508582941888818709e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.782264241798361581e+02,1.508618084073900434e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.782299375533589796e+02,1.508653232842375758e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.782334513127786693e+02,1.508688385472025573e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.782369640682934744e+02,1.508723528058495731e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.782404780406541533e+02,1.508758682818139505e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.782439914670241876e+02,1.508793832116186877e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.782475030591178324e+02,1.508828963063963329e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.782510170710572481e+02,1.508864118220369335e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.782545317399898579e+02,1.508899279950026369e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.782580443885635475e+02,1.508934421467461675e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.782615570503404285e+02,1.508969563117048551e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.782650717582057496e+02,1.509004725236500519e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.782685848189546789e+02,1.509039870877989529e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.782720983498627731e+02,1.509075021223146393e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.782756122665491603e+02,1.509110175427923934e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.782791243503175167e+02,1.509145311295917224e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.782826369039727865e+02,1.509180451865350392e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.782861516890626206e+02,1.509215614758300603e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.782896648279443923e+02,1.509250761182504448e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.782931779798202854e+02,1.509285907736754666e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.782966917874250328e+02,1.509321060851150378e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.783002054212289238e+02,1.509356212227498588e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.783037184251882934e+02,1.509391357302604604e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.783072320844938190e+02,1.509426508934028277e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.783107453005719094e+02,1.509461656131449558e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.783142595447828000e+02,1.509496813614657071e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.783177732420176937e+02,1.509531965626498220e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.783212871384113498e+02,1.509567119630239063e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.783248000322382154e+02,1.509602263604894290e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.783283122968807675e+02,1.509637401285035878e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.783318282608818208e+02,1.509672575974135214e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.783353422073718377e+02,1.509707730480203622e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.783388553381203110e+02,1.509742876825836220e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.783423684814984256e+02,1.509778023297687355e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.783458824654389616e+02,1.509813178178806652e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.783493966483211182e+02,1.509848335050382389e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.783529096425970977e+02,1.509883480030935345e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.783564240368071694e+02,1.509918639017231783e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.783599368693156464e+02,1.509953782380110852e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.783634500874936748e+02,1.509988929601028076e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.783669653461371922e+02,1.510024097235929048e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.783704792296778123e+02,1.510059251113688958e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.783739904569330008e+02,1.510094378418018550e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.783775074064768660e+02,1.510129562968867845e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.783810208725809048e+02,1.510164712671729887e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.783845341643729512e+02,1.510199860630541480e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.783880489355552470e+02,1.510235023389821833e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.783915604113850861e+02,1.510270153181526496e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.783950755799361332e+02,1.510305319916587052e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.783985892937611482e+02,1.510340472098099838e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.784021044861487439e+02,1.510375639071806404e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.784056172906606719e+02,1.510410782157004803e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.784091316804163228e+02,1.510445941100891503e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.784126460820356499e+02,1.510481100164046779e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.784161603087461856e+02,1.510516257478370505e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.784196739079856115e+02,1.510551408514834009e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.784231861330696916e+02,1.510586545804208924e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.784267014081797811e+02,1.510621713606799972e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.784302156824289796e+02,1.510656871395771645e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.784337293292533388e+02,1.510692022909704235e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.784372436269270565e+02,1.510727180934481453e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.784407571107413162e+02,1.510762330817330223e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.784442720705936836e+02,1.510797495466469798e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.784477855778590651e+02,1.510832645584309830e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.784513001089622719e+02,1.510867805944926090e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.784548126276780522e+02,1.510902946173834778e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.784583271821163635e+02,1.510938106768057025e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.784618415612289084e+02,1.510973265609150076e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.784653563254718449e+02,1.511008428302946527e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.784688690779264846e+02,1.511043570870809276e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.784723841295954401e+02,1.511078736440487376e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.784758969053727355e+02,1.511113879241827647e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.784794121665797775e+02,1.511149046907929687e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.784829263504957169e+02,1.511184203797154737e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.784864396118164507e+02,1.511219351456355753e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.784899538956112508e+02,1.511254509345950794e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.784934685645239369e+02,1.511289671087064050e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.784969838819422421e+02,1.511324839316230850e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.785004965513877835e+02,1.511359981055937851e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.785040112540186215e+02,1.511395143135745798e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.785075259678371253e+02,1.511430305327687620e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.785110406928997975e+02,1.511465467631500132e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.785145542316568026e+02,1.511500618067565256e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.785180675945912014e+02,1.511535766746756622e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.785215825400314031e+02,1.511570931255897960e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.785250969357358599e+02,1.511606090266308513e+02
1.554384094272581628e+06,2.741108985755067451e+01,1.785286108930221474e+02,1.511641244890572295e+02
