
-15.0,2985046557.5
-11.0,2998478865.0
-10.0,3009162154.0
-6.0,3054086255.5
-4.7,3097452044.0
-2.0,3146422253.5
0.0,3216963663.5
-15.0,2986675239.0
-11.0,2999700908.5
-10.0,3010659631.5
-6.0,3057007426.5
-5.4,3074256443.5
-5.3,3074815490.0
-5.0,3098297954.5
-4.7,3099491170.0
-4.6,3104167915.0
-3.0,3125242641.0
-2.0,3149507393.0
0.0,3221237113.5
-15.0,2986675239.0
-11.0,2999700908.5
-10.0,3010659631.5
-6.0,3057007426.5
-5.4,3074256443.5
-5.3,3074815490.0
-5.0,3098297954.5
-4.7,3099491170.0
-4.6,3104167915.0
-3.0,3125242641.0
-2.0,3149507393.0
0.0,3221237113.5
-15.0,50507893.0
-12.0,51304939.5
-9.0,52525373.5
-6.0,54162962.5
-3.0,56933330.0
