
-15.0,3025986502.5
-11.0,3047246271.0
-10.0,3058235856.0
-6.0,3102004382.0
-4.6,3171102979.0
-2.0,3231650378.5
0.0,3303524248.5
-15.0,3027115573.5
-11.0,3048743305.0
-10.0,3058734666.5
-6.0,3104600227.0
-5.3,3153994822.0
-5.2,3155541921.0
-5.0,3166706409.5
-4.6,3171570011.5
-4.3,3179969348.0
-3.0,3206625103.5
-2.0,3234731439.5
0.0,3306662158.5
-15.0,3027115573.5
-11.0,3048743305.0
-10.0,3058734666.5
-6.0,3104600227.0
-5.3,3153994822.0
-5.2,3155541921.0
-5.0,3166706409.5
-4.6,3171570011.5
-4.3,3179969348.0
-3.0,3206625103.5
-2.0,3234731439.5
0.0,3306662158.5
-15.0,50651350.0
-12.0,51524789.5
-9.0,52747037.5
-6.0,55119211.5
-3.0,57388973.0
