wavelength,transmissivity
6.596965811278195361e+03,5.601222078674240401e-04
6.597048606641604238e+03,5.531421769253606034e-04
6.597131402005013115e+03,5.181135305602287307e-04
6.597214197368421083e+03,7.004638567123657811e-04
6.597296992731829960e+03,5.672611029532040154e-04
6.597379788095238837e+03,8.618450011557357441e-04
6.597462583458646805e+03,7.075957231920126673e-04
6.597545378822055682e+03,8.198584776423392239e-04
6.597628174185463649e+03,6.726037882906324471e-04
6.597710969548872527e+03,8.129361042343600727e-04
6.597793764912281404e+03,8.550725921884762227e-04
6.597876560275689371e+03,1.072601626362516608e-03
6.597959355639098249e+03,1.037582509377248064e-03
6.598042151002506216e+03,9.183638184206155148e-04
6.598124946365915093e+03,1.058749507883772036e-03
6.598207741729323971e+03,1.100911714232102488e-03
6.598290537092731938e+03,9.185190455083441828e-04
6.598373332456140815e+03,1.297536520174099282e-03
6.598456127819548783e+03,1.101097817576626942e-03
6.598538923182957660e+03,1.080103842054485393e-03
6.598621718546366537e+03,1.192469833846159042e-03
6.598704513909774505e+03,1.066186655026998354e-03
6.598787309273183382e+03,1.375120647423906444e-03
6.598870104636591350e+03,1.206711985533734334e-03
6.598952900000000227e+03,1.368255018348997964e-03
6.599035695363409104e+03,1.347269001964248973e-03
6.599118490726817072e+03,1.305216286472803263e-03
6.599201286090225949e+03,1.249115149029544642e-03
6.599284081453634826e+03,1.263230046301524415e-03
6.599366876817042794e+03,1.186052319203873559e-03
6.599449672180451671e+03,1.403833063933983705e-03
6.599532467543859639e+03,1.333677985353028464e-03
6.599615262907268516e+03,1.340777015184896771e-03
6.599698058270677393e+03,1.270610467580298624e-03
