wavelength,transmissivity
6.555291661451814434e+03,4.096782075209590927e-04
6.555374353191488808e+03,4.233368672359370485e-04
6.555457044931163182e+03,4.847264522313110406e-04
6.555539736670838465e+03,3.756511773695940678e-04
6.555622428410512839e+03,3.415755613350438175e-04
6.555705120150187213e+03,2.393001140470507094e-04
6.555787811889861587e+03,5.462124698216160945e-04
6.555870503629536870e+03,5.121405957248041348e-04
6.555953195369211244e+03,3.075467312864293740e-04
6.556035887108885618e+03,4.508067557030656018e-04
6.556118578848559991e+03,3.144018962940949469e-04
6.556201270588235275e+03,7.100864793167830594e-04
6.556283962327909649e+03,5.463919798332318245e-04
6.556366654067584022e+03,7.169868708216876234e-04
6.556449345807258396e+03,5.737437314881518825e-04
6.556532037546933680e+03,1.133289532894151113e-03
6.556614729286608053e+03,8.194605107171557858e-04
6.556697421026282427e+03,1.106117342232263139e-03
6.556780112765956801e+03,8.877949864939478544e-04
6.556862804505632084e+03,1.072114354429659546e-03
6.556945496245306458e+03,1.413433879811203456e-03
6.557028187984980832e+03,8.879409431492695523e-04
6.557110879724655206e+03,1.399936876787814290e-03
6.557193571464330489e+03,1.481929656062448393e-03
6.557276263204004863e+03,1.372783490921057311e-03
6.557358954943679237e+03,1.632288008194515347e-03
6.557441646683353611e+03,1.973750499219612941e-03
6.557524338423028894e+03,2.322078262233327056e-03
6.557607030162703268e+03,2.335861981504243172e-03
6.557689721902377642e+03,2.329161462401510476e-03
6.557772413642052015e+03,2.616105387664932787e-03
6.557855105381726389e+03,2.643566160329454112e-03
6.557937797121401672e+03,3.169598524579814516e-03
6.558020488861076046e+03,3.572747121405711254e-03
6.558103180600750420e+03,3.593434418753415575e-03
6.558185872340424794e+03,4.215237048590463401e-03
6.558268564080100077e+03,4.372585951580060422e-03
6.558351255819774451e+03,5.062815324147309712e-03
6.558433947559448825e+03,6.292844809756428272e-03
6.558516639299123199e+03,6.238531372869943539e-03
6.558599331038798482e+03,6.539512579929648503e-03
6.558682022778472856e+03,7.503335450732107753e-03
6.558764714518147230e+03,8.665434236305750645e-03
6.558847406257821604e+03,9.308289572233053449e-03
6.558930097997496887e+03,1.035443346534187063e-02
6.559012789737171261e+03,1.172875194073713483e-02
6.559095481476845634e+03,1.372520203152526042e-02
6.559178173216520008e+03,1.439581747728751679e-02
6.559260864956195292e+03,1.718557473132837146e-02
6.559343556695869665e+03,1.892971812525361119e-02
6.559426248435544039e+03,2.072874461985792227e-02
6.559508940175218413e+03,2.416880770398809747e-02
6.559591631914893696e+03,2.657683053885238553e-02
6.559674323654568070e+03,3.020904461447372277e-02
6.559757015394242444e+03,3.538703546846483361e-02
6.559839707133916818e+03,3.780290918065296740e-02
6.559922398873592101e+03,4.249633743905584238e-02
6.560005090613266475e+03,4.822982158495548594e-02
6.560087782352940849e+03,5.487358326170492517e-02
6.560170474092615223e+03,5.938404669785610906e-02
6.560253165832289596e+03,6.814277518393110911e-02
6.560335857571964880e+03,7.463139172732932702e-02
6.560418549311639254e+03,8.144224616661335792e-02
6.560501241051313627e+03,9.114773389897758149e-02
6.560583932790988001e+03,9.932174446814391600e-02
6.560666624530663285e+03,1.111845382765578177e-01
6.560749316270337658e+03,1.221180604645696194e-01
6.560832008010012032e+03,1.317047446706586245e-01
6.560914699749686406e+03,1.406423768592972301e-01
6.560997391489361689e+03,1.545768128745280134e-01
6.561080083229036063e+03,1.646185628223219843e-01
6.561162774968710437e+03,1.781246541774913761e-01
6.561245466708384811e+03,1.865260691777914093e-01
6.561328158448060094e+03,1.987821965297582039e-01
6.561410850187734468e+03,2.102182144602956770e-01
6.561493541927408842e+03,2.207449917135651807e-01
6.561576233667083216e+03,2.331008681578557173e-01
6.561658925406758499e+03,2.427536956714240468e-01
6.561741617146432873e+03,2.503534913068443113e-01
6.561824308886107247e+03,2.563860785705098233e-01
6.561907000625781620e+03,2.662951444010375757e-01
6.561989692365456904e+03,2.737673739215149005e-01
6.562072384105131277e+03,2.825484854435254545e-01
6.562155075844805651e+03,2.885293790483250409e-01
6.562237767584480025e+03,2.927301289920560268e-01
6.562320459324155308e+03,3.009589134253535248e-01
6.562403151063829682e+03,3.020372136981209210e-01
6.562485842803504056e+03,3.074519145666378961e-01
6.562568534543178430e+03,3.113874505393607328e-01
6.562651226282852804e+03,3.144533272161367798e-01
6.562733918022528087e+03,3.215413699231811084e-01
6.562816609762202461e+03,3.234707314441280235e-01
6.562899301501876835e+03,3.244958081409476391e-01
6.562981993241551208e+03,3.266790917408053385e-01
6.563064684981226492e+03,3.309322230726662317e-01
6.563147376720900866e+03,3.314438758973413113e-01
6.563230068460575239e+03,3.362460382276956650e-01
6.563312760200249613e+03,3.359423975711525179e-01
6.563395451939924897e+03,3.385381826917930881e-01
6.563478143679599270e+03,3.379947135889768139e-01
6.563560835419273644e+03,3.403852393690292022e-01
6.563643527158948018e+03,3.409935605219753807e-01
6.563726218898623301e+03,3.429868652333748491e-01
6.563808910638297675e+03,3.437188117787403074e-01
6.563891602377972049e+03,3.409813094575356862e-01
6.563974294117646423e+03,3.429543712511168296e-01
6.564056985857321706e+03,3.411560073693283290e-01
6.564139677596996080e+03,3.381916007155982840e-01
6.564222369336670454e+03,3.385874286311865711e-01
6.564305061076344828e+03,3.373577964210752733e-01
6.564387752816020111e+03,3.362652096435927995e-01
6.564470444555694485e+03,3.287315062639628027e-01
6.564553136295368859e+03,3.298608988225518179e-01
6.564635828035043232e+03,3.230257508133156930e-01
6.564718519774718516e+03,3.202375769291579410e-01
6.564801211514392890e+03,3.179842485946176023e-01
6.564883903254067263e+03,3.112845429270798547e-01
6.564966594993741637e+03,3.083786126969307317e-01
6.565049286733416920e+03,3.019178119096571078e-01
6.565131978473091294e+03,2.944749696293860186e-01
6.565214670212765668e+03,2.884519114097769954e-01
6.565297361952440042e+03,2.786465658291938374e-01
6.565380053692114416e+03,2.677282397965694560e-01
6.565462745431789699e+03,2.617644874212056716e-01
6.565545437171464073e+03,2.528278204515861938e-01
6.565628128911138447e+03,2.420778839543238636e-01
6.565710820650812821e+03,2.272077071390123659e-01
6.565793512390488104e+03,2.149790971551965857e-01
6.565876204130162478e+03,2.053512957533840111e-01
6.565958895869836851e+03,1.944727794341601923e-01
6.566041587609511225e+03,1.825630727331368497e-01
6.566124279349186509e+03,1.691893850598231996e-01
6.566206971088860882e+03,1.584581574753690936e-01
6.566289662828535256e+03,1.453769787280366488e-01
6.566372354568209630e+03,1.348767706680663037e-01
6.566455046307884913e+03,1.234206831147963979e-01
6.566537738047559287e+03,1.120594962779599552e-01
6.566620429787233661e+03,1.012259890489509290e-01
6.566703121526908035e+03,9.115381635889290013e-02
6.566785813266583318e+03,8.239270536969801884e-02
6.566868505006257692e+03,7.127408279264799140e-02
6.566951196745932066e+03,6.483322974266331196e-02
6.567033888485606440e+03,5.901694085768224157e-02
6.567116580225281723e+03,5.163330117135570690e-02
6.567199271964956097e+03,4.665401521602308837e-02
6.567281963704630471e+03,3.922077256614892732e-02
6.567364655444304844e+03,3.621270800455998057e-02
6.567447347183980128e+03,3.091558661367253477e-02
6.567530038923654502e+03,2.822978278974995481e-02
6.567612730663328875e+03,2.414829985542787938e-02
6.567695422403003249e+03,2.185365464777329694e-02
6.567778114142677623e+03,1.935939375197756607e-02
6.567860805882352906e+03,1.620486283447020864e-02
6.567943497622027280e+03,1.476193931946809430e-02
6.568026189361701654e+03,1.300944983793042922e-02
6.568108881101376028e+03,1.105048436589751819e-02
6.568191572841051311e+03,1.034969526253829222e-02
6.568274264580725685e+03,9.270602443410302582e-03
6.568356956320400059e+03,8.101986571318180522e-03
6.568439648060074433e+03,7.359652954293175245e-03
6.568522339799749716e+03,6.211436434759424509e-03
6.568605031539424090e+03,5.764685964998749607e-03
6.568687723279098464e+03,5.090887684533100879e-03
6.568770415018772837e+03,4.313828155967003655e-03
6.568853106758448121e+03,3.935693858458219098e-03
6.568935798498122494e+03,3.282322537550340889e-03
6.569018490237796868e+03,3.337545943716929177e-03
6.569101181977471242e+03,3.041862741635097296e-03
6.569183873717146525e+03,2.773670954767902541e-03
6.569266565456820899e+03,2.147616646383593113e-03
6.569349257196495273e+03,2.133971743472103891e-03
6.569431948936169647e+03,1.948271279237694716e-03
