wavelength,transmissivity
6.555596593726473657e+03,5.429091501648819961e-04
6.555679492973650667e+03,7.543583629288171024e-04
6.555762392220827678e+03,6.930164593367600006e-04
6.555845291468004689e+03,5.702812642017818278e-04
6.555928190715181699e+03,6.385235345947033563e-04
6.556011089962357801e+03,5.157719110174987902e-04
6.556093989209534811e+03,5.294438626167307510e-04
6.556176888456711822e+03,5.635839861908260385e-04
6.556259787703888833e+03,4.885662748076982555e-04
6.556342686951065843e+03,4.885930385523434491e-04
6.556425586198242854e+03,6.592034545903056354e-04
6.556508485445419865e+03,6.865344490236737493e-04
6.556591384692596876e+03,8.844707799785521711e-04
6.556674283939773886e+03,8.708703069143870681e-04
6.556757183186950897e+03,1.041539064418552053e-03
6.556840082434126998e+03,1.021120492339340447e-03
6.556922981681304009e+03,8.437111229355148765e-04
6.557005880928481020e+03,1.055362233751834956e-03
6.557088780175658030e+03,9.461986716422489613e-04
6.557171679422835041e+03,1.239799143598254794e-03
6.557254578670012052e+03,1.437852596954480085e-03
6.557337477917189062e+03,1.519860938224352424e-03
6.557420377164366073e+03,1.676984451136838460e-03
6.557503276411543084e+03,1.342494151198658911e-03
6.557586175658719185e+03,1.882025830873024089e-03
6.557669074905896196e+03,2.237234817021869267e-03
6.557751974153073206e+03,2.169064166427025001e-03
6.557834873400250217e+03,2.503838727609310460e-03
6.557917772647427228e+03,2.893290653804648192e-03
6.558000671894604238e+03,2.866127499958411474e-03
6.558083571141781249e+03,3.399089448458248505e-03
6.558166470388958260e+03,3.856966604886212600e-03
6.558249369636135270e+03,3.925493952702486730e-03
6.558332268883311372e+03,4.684056205166814771e-03
6.558415168130488382e+03,4.663816163176411067e-03
6.558498067377665393e+03,5.443000257340217633e-03
6.558580966624842404e+03,6.065109034254315482e-03
6.558663865872019414e+03,6.536950094072538527e-03
6.558746765119196425e+03,7.186522474326956060e-03
6.558829664366373436e+03,8.464912866237045419e-03
6.558912563613550446e+03,9.319699685860620766e-03
6.558995462860727457e+03,1.057784258474909513e-02
6.559078362107904468e+03,1.193181817801132125e-02
6.559161261355080569e+03,1.348417780221298178e-02
6.559244160602257580e+03,1.572031573477728275e-02
6.559327059849434590e+03,1.771742324412202418e-02
6.559409959096611601e+03,1.950964511573325538e-02
6.559492858343788612e+03,2.154136592258312777e-02
6.559575757590965623e+03,2.465364747037577728e-02
6.559658656838142633e+03,2.724658612661800053e-02
6.559741556085319644e+03,3.102967909842686486e-02
6.559824455332496655e+03,3.520299377135800711e-02
6.559907354579672756e+03,3.972555993423056847e-02
6.559990253826849766e+03,4.442644868380671297e-02
6.560073153074026777e+03,4.960664205523529491e-02
6.560156052321203788e+03,5.447959501045353259e-02
6.560238951568380799e+03,6.126844686514177490e-02
6.560321850815557809e+03,6.836588767603843375e-02
6.560404750062734820e+03,7.486207061877464541e-02
6.560487649309911831e+03,8.397934282050487087e-02
6.560570548557088841e+03,9.286498573594309525e-02
