wavelength,transmissivity
6.554878202753441656e+03,3.934806407424352179e-04
6.554960894493116029e+03,3.048909104970147954e-04
6.555043586232790403e+03,4.276068311128422561e-04
6.555126277972465687e+03,5.094342014941094987e-04
6.555208969712140060e+03,4.344710117399142382e-04
6.555291661451814434e+03,4.413125374077496682e-04
6.555374353191488808e+03,5.572446796455650126e-04
6.555457044931164091e+03,5.231827356830569742e-04
6.555539736670838465e+03,3.936529763940217644e-04
6.555622428410512839e+03,3.732168191628457360e-04
6.555705120150187213e+03,6.051039931431976280e-04
6.555787811889862496e+03,5.573972425836023516e-04
6.555870503629536870e+03,6.324516905255171033e-04
6.555953195369211244e+03,4.346851449297879275e-04
6.556035887108885618e+03,4.892777816096366980e-04
6.556118578848560901e+03,7.485207220731407776e-04
6.556201270588235275e+03,6.735213575074068754e-04
6.556283962327909649e+03,6.326249006110073536e-04
6.556366654067584022e+03,5.985465617773968842e-04
6.556449345807259306e+03,8.032685159721745941e-04
6.556532037546933680e+03,7.077856779282935265e-04
6.556614729286608053e+03,9.261834883807105664e-04
6.556697421026282427e+03,7.692800789058115794e-04
6.556780112765957711e+03,1.260683894650065258e-03
6.556862804505632084e+03,9.058612149942625114e-04
6.556945496245306458e+03,9.536873631079213808e-04
6.557028187984980832e+03,1.090251417089959339e-03
6.557110879724656115e+03,1.288264112127184176e-03
6.557193571464330489e+03,1.663783292975726854e-03
6.557276263204004863e+03,1.465899840894517971e-03
6.557358954943679237e+03,1.909740786031418388e-03
6.557441646683353611e+03,1.732331502877969883e-03
6.557524338423028894e+03,2.039679024014119223e-03
6.557607030162703268e+03,2.265121737333457459e-03
6.557689721902377642e+03,2.408646171488125747e-03
6.557772413642052015e+03,2.599989047601529088e-03
6.557855105381727299e+03,2.770864910564649342e-03
6.557937797121401672e+03,2.928100100073485410e-03
6.558020488861076046e+03,3.269764723910906570e-03
6.558103180600750420e+03,3.666110466987626722e-03
6.558185872340425703e+03,3.912221418009071382e-03
6.558268564080100077e+03,4.616050094613560924e-03
6.558351255819774451e+03,4.595808542840437369e-03
6.558433947559448825e+03,5.190440659779447380e-03
6.558516639299124108e+03,6.174580772545706052e-03
6.558599331038798482e+03,6.824026370511798723e-03
6.558682022778472856e+03,7.664869432514391859e-03
6.558764714518147230e+03,8.533138573683320474e-03
6.558847406257822513e+03,1.006438436646241857e-02
6.558930097997496887e+03,1.132926426053975678e-02
6.559012789737171261e+03,1.237557645674233417e-02
6.559095481476845634e+03,1.408499399052086896e-02
6.559178173216520918e+03,1.611585959798732259e-02
6.559260864956195292e+03,1.792136989541565084e-02
6.559343556695869665e+03,2.049955531735760117e-02
6.559426248435544039e+03,2.195000881019904676e-02
6.559508940175219323e+03,2.608749554334927057e-02
6.559591631914893696e+03,2.852980972768459286e-02
6.559674323654568070e+03,3.371426171760285445e-02
6.559757015394242444e+03,3.783939985254514832e-02
6.559839707133916818e+03,4.223168586514219891e-02
6.559922398873592101e+03,4.745193768975022180e-02
6.560005090613266475e+03,5.254282023987003059e-02
6.560087782352940849e+03,6.043843948107346237e-02
6.560170474092615223e+03,6.615301914274740458e-02
6.560253165832290506e+03,7.393396951983084719e-02
6.560335857571964880e+03,8.221513724405617174e-02
6.560418549311639254e+03,9.193381627746215201e-02
6.560501241051313627e+03,1.027481767022958986e-01
6.560583932790988911e+03,1.131669059278796324e-01
6.560666624530663285e+03,1.238125687197582092e-01
6.560749316270337658e+03,1.339325315027357632e-01
6.560832008010012032e+03,1.464075429944137474e-01
6.560914699749687315e+03,1.560850502475398249e-01
6.560997391489361689e+03,1.669133443161674168e-01
6.561080083229036063e+03,1.811442801639729649e-01
6.561162774968710437e+03,1.912975513477285228e-01
6.561245466708385720e+03,2.062843104933272109e-01
6.561328158448060094e+03,2.152764130437554713e-01
6.561410850187734468e+03,2.259261082347179539e-01
6.561493541927408842e+03,2.402258112187918848e-01
6.561576233667084125e+03,2.493239555974621491e-01
6.561658925406758499e+03,2.589571350896966440e-01
6.561741617146432873e+03,2.654759990744367526e-01
6.561824308886107247e+03,2.729473619761737524e-01
6.561907000625782530e+03,2.829052724393378293e-01
6.561989692365456904e+03,2.919671759488454699e-01
6.562072384105131277e+03,2.980235918954737273e-01
6.562155075844805651e+03,3.004781736854156837e-01
6.562237767584480025e+03,3.071384565571223524e-01
6.562320459324155308e+03,3.127377819624878597e-01
6.562403151063829682e+03,3.200091207553705241e-01
6.562485842803504056e+03,3.230682840113793808e-01
6.562568534543178430e+03,3.245589635851184318e-01
6.562651226282853713e+03,3.293246425625585561e-01
6.562733918022528087e+03,3.329260913656321152e-01
6.562816609762202461e+03,3.398922064992128678e-01
6.562899301501876835e+03,3.393901346870685787e-01
6.562981993241552118e+03,3.412795747493465037e-01
6.563064684981226492e+03,3.416272966295000879e-01
6.563147376720900866e+03,3.467998376866399113e-01
6.563230068460575239e+03,3.447285246387912783e-01
6.563312760200250523e+03,3.469408187855380632e-01
6.563395451939924897e+03,3.470832933644314999e-01
6.563478143679599270e+03,3.460398875316404443e-01
6.563560835419273644e+03,3.441943004849236654e-01
6.563643527158948928e+03,3.462905063366595870e-01
6.563726218898623301e+03,3.455074134230536886e-01
6.563808910638297675e+03,3.390677041894534227e-01
6.563891602377972049e+03,3.392440762895014839e-01
6.563974294117647332e+03,3.352924604523569996e-01
6.564056985857321706e+03,3.329862173100625045e-01
6.564139677596996080e+03,3.308168784050877775e-01
6.564222369336670454e+03,3.233595606871847439e-01
6.564305061076345737e+03,3.224102952127659294e-01
6.564387752816020111e+03,3.176541562168976873e-01
6.564470444555694485e+03,3.114707337985412328e-01
6.564553136295368859e+03,3.087233894264695411e-01
6.564635828035044142e+03,3.019625391290268746e-01
6.564718519774718516e+03,2.950705934963772648e-01
6.564801211514392890e+03,2.852482704701137517e-01
6.564883903254067263e+03,2.770715797304835193e-01
6.564966594993741637e+03,2.689626049493662463e-01
6.565049286733416920e+03,2.579157722670952224e-01
6.565131978473091294e+03,2.485352962794856735e-01
6.565214670212765668e+03,2.364772857744592560e-01
6.565297361952440042e+03,2.221050477669285483e-01
6.565380053692115325e+03,2.136750850863794737e-01
6.565462745431789699e+03,2.012081864672969900e-01
6.565545437171464073e+03,1.881427165074261443e-01
6.565628128911138447e+03,1.760300015458235168e-01
6.565710820650813730e+03,1.635315061591109675e-01
6.565793512390488104e+03,1.516563907235619624e-01
6.565876204130162478e+03,1.400340024833977570e-01
6.565958895869836851e+03,1.281974797652642439e-01
6.566041587609512135e+03,1.155219260036603746e-01
6.566124279349186509e+03,1.043145092541592350e-01
6.566206971088860882e+03,9.439005355341986703e-02
6.566289662828535256e+03,8.473234532554706211e-02
6.566372354568210540e+03,7.580846089950889211e-02
6.566455046307884913e+03,6.490546443088575368e-02
6.566537738047559287e+03,5.807451012996472928e-02
6.566620429787233661e+03,5.262352300284334206e-02
6.566703121526908944e+03,4.537895962243300441e-02
6.566785813266583318e+03,3.912287917875879872e-02
6.566868505006257692e+03,3.517456084302369307e-02
6.566951196745932066e+03,3.049063421670514251e-02
6.567033888485607349e+03,2.630778487244093619e-02
6.567116580225281723e+03,2.302464453232483388e-02
6.567199271964956097e+03,1.959683180102038749e-02
6.567281963704630471e+03,1.754997091781477017e-02
6.567364655444304844e+03,1.570219152818766103e-02
6.567447347183980128e+03,1.360677849635866070e-02
6.567530038923654502e+03,1.137366565516775667e-02
6.567612730663328875e+03,1.081751504558167189e-02
6.567695422403003249e+03,9.161433353169273416e-03
6.567778114142678533e+03,8.185750782926775812e-03
6.567860805882352906e+03,7.093086446511566619e-03
6.567943497622027280e+03,6.075930042426511309e-03
6.568026189361701654e+03,5.457452140152170041e-03
6.568108881101376937e+03,4.715136454229017227e-03
6.568191572841051311e+03,4.550361670119039414e-03
6.568274264580725685e+03,3.952327620782888039e-03
6.568356956320400059e+03,3.471140305190117698e-03
6.568439648060075342e+03,3.182472699997275414e-03
6.568522339799749716e+03,2.501728260101479789e-03
6.568605031539424090e+03,2.460596248921956622e-03
6.568687723279098464e+03,2.309399832896401761e-03
6.568770415018773747e+03,2.103153745273872964e-03
6.568853106758448121e+03,1.979438888801034104e-03
6.568935798498122494e+03,1.566755353238045339e-03
6.569018490237796868e+03,1.559961639734769399e-03
6.569101181977472152e+03,1.346747934629233950e-03
6.569183873717146525e+03,1.209201907468216699e-03
6.569266565456820899e+03,1.250557125019354475e-03
6.569349257196495273e+03,9.547096003479148101e-04
6.569431948936170556e+03,8.102369483367619692e-04
6.569514640675844930e+03,9.754627391935325213e-04
