wavelength,transmissivity
6.580287927250000394e+03,4.666159125398542046e-04
6.580370515625000735e+03,3.903818830131339408e-04
6.580453104000000167e+03,6.191963543606324432e-04
6.580535692375000508e+03,3.002898551846171563e-04
6.580618280750000849e+03,5.083231316458847095e-04
6.580700869125000281e+03,3.488631910983158659e-04
6.580783457500000623e+03,2.934053553630174417e-04
6.580866045875000054e+03,6.026552835986111840e-05
6.580948634250000396e+03,5.069799113766347765e-05
6.581031222625000737e+03,7.844407796147037854e-05
6.581113811000000169e+03,5.333939462767060076e-05
6.581196399375000510e+03,3.516156688245754215e-04
6.581278987749999942e+03,6.721928573822662624e-05
6.581361576125000283e+03,5.805877564854036461e-04
6.581444164500000625e+03,5.389936106302721302e-04
6.581526752875000057e+03,6.847244504200663152e-04
6.581609341250000398e+03,8.651641297694751941e-04
6.581691929625000739e+03,5.807171369571971194e-04
6.581774518000000171e+03,6.987174842562196087e-04
6.581857106375000512e+03,1.066559473593378399e-03
6.581939694750000854e+03,1.129079505923696880e-03
6.582022283125000286e+03,1.469224656279249138e-03
6.582104871500000627e+03,1.288844677356424133e-03
6.582187459875000059e+03,1.747037508408087660e-03
6.582270048250000400e+03,1.761018103946618068e-03
6.582352636625000741e+03,1.955492286186342066e-03
6.582435225000000173e+03,2.108333819833812812e-03
6.582517813375000514e+03,2.608331143360537608e-03
6.582600401749999946e+03,2.657078679422226163e-03
6.582682990125000288e+03,2.955799418438543203e-03
6.582765578500000629e+03,3.004571761814770273e-03
6.582848166875000061e+03,3.428343005869713932e-03
6.582930755250000402e+03,4.102171087415722173e-03
6.583013343625000743e+03,4.532995891738368643e-03
6.583095932000000175e+03,4.581867064511414324e-03
6.583178520375000517e+03,4.797444626311014003e-03
6.583261108750000858e+03,5.652102135060122802e-03
6.583343697125000290e+03,5.819136903604677120e-03
6.583426285500000631e+03,6.284912796127911129e-03
6.583508873875000063e+03,7.077269492077496553e-03
6.583591462250000404e+03,7.334733239113423037e-03
6.583674050625000746e+03,7.911842787642881999e-03
6.583756639000000177e+03,8.412582294264767113e-03
6.583839227375000519e+03,8.816092058686711072e-03
6.583921815749999951e+03,9.997975207189459257e-03
6.584004404125000292e+03,1.074215611974504124e-02
6.584086992500000633e+03,1.152812089993226867e-02
6.584169580875000065e+03,1.330114777120314923e-02
6.584252169250000406e+03,1.427501770119468660e-02
6.584334757625000748e+03,1.558265871445366560e-02
6.584417346000000180e+03,1.651505456892506107e-02
6.584499934375000521e+03,1.747536281218073709e-02
6.584582522750000862e+03,1.965941186153556675e-02
6.584665111125000294e+03,2.160035494045587506e-02
6.584747699500000635e+03,2.288095694118521747e-02
6.584830287875000067e+03,2.570540736422277650e-02
6.584912876250000409e+03,2.693074942687484138e-02
6.584995464625000750e+03,2.959579007487683072e-02
6.585078053000000182e+03,3.296356243120870250e-02
6.585160641375000523e+03,3.457205004710357799e-02
6.585243229749999955e+03,3.828129936139835349e-02
6.585325818125000296e+03,4.235267280678765844e-02
6.585408406500000638e+03,4.648015180593940976e-02
6.585490994875000069e+03,4.952284118979308203e-02
6.585573583250000411e+03,5.431906567580005452e-02
6.585656171625000752e+03,5.822526441284057996e-02
6.585738760000000184e+03,6.457412285211037994e-02
6.585821348375000525e+03,7.083323290259513350e-02
6.585903936750000867e+03,7.832472844404010648e-02
6.585986525125000298e+03,8.663823107404801382e-02
6.586069113500000640e+03,9.174435345295027522e-02
6.586151701875000072e+03,1.025720391327916148e-01
6.586234290250000413e+03,1.087375781797926405e-01
6.586316878625000754e+03,1.188922433205758938e-01
6.586399467000000186e+03,1.301757274623219218e-01
6.586482055375000527e+03,1.398871962681747794e-01
6.586564643749999959e+03,1.512148860319445232e-01
6.586647232125000301e+03,1.644514793146076848e-01
6.586729820500000642e+03,1.767983437049265305e-01
6.586812408875000074e+03,1.893833291388488105e-01
6.586894997250000415e+03,2.022552189835843950e-01
6.586977585625000756e+03,2.144252108007999869e-01
6.587060174000000188e+03,2.282540254703473159e-01
6.587142762375000530e+03,2.440205218642795548e-01
6.587225350750000871e+03,2.592106944944044256e-01
6.587307939125000303e+03,2.741796766694807319e-01
6.587390527500000644e+03,2.896379310073011748e-01
6.587473115875000076e+03,3.041365963761730740e-01
6.587555704250000417e+03,3.153347802504546937e-01
6.587638292625000759e+03,3.291189191504311218e-01
6.587720881000000190e+03,3.438173089080755473e-01
6.587803469375000532e+03,3.524555033531176496e-01
6.587886057749999964e+03,3.676794448983967678e-01
6.587968646125000305e+03,3.821664383062081671e-01
6.588051234500000646e+03,3.911706060490556802e-01
6.588133822875000078e+03,3.965239251162998024e-01
6.588216411250000419e+03,4.107222421203374774e-01
6.588298999625000761e+03,4.169833507399659522e-01
6.588381588000000193e+03,4.261169490872194765e-01
6.588464176375000534e+03,4.310621480690143281e-01
6.588546764750000875e+03,4.345091051349495026e-01
6.588629353125000307e+03,4.372104941537314771e-01
6.588711941500000648e+03,4.418852395809763633e-01
6.588794529875000080e+03,4.435066355183679421e-01
6.588877118250000422e+03,4.409027550934052631e-01
6.588959706625000763e+03,4.411226858464599720e-01
6.589042295000000195e+03,4.379465547178030826e-01
6.589124883375000536e+03,4.344213742125559996e-01
6.589207471749999968e+03,4.301146812937112762e-01
6.589290060125000309e+03,4.285345961844951312e-01
6.589372648500000651e+03,4.175589475667440542e-01
6.589455236875000082e+03,4.102860262661539581e-01
6.589537825250000424e+03,4.012055510997136754e-01
6.589620413625000765e+03,3.929751572893289135e-01
